expression<br>english meaning, nepali expression<br> pronunciation
"ああ<br>Ah!, Oh!",आह!<br>aah!
"会う<br>to meet, to see",भेट्नु<br>bhetnu
青<br>blue,नीलो<br>nilo
青い<br>blue,नीलो<br>nilo
赤<br>red,रातो<br>rato
赤い<br>red,रातो<br>rato
明るい<br>bright (in reference to personality or weather); cheerful,उज्यालो; हँसिलो<br>ujyalo; hansilo
秋<br>fall (season),शरद ऋतु<br>sharad ritu
"開く<br>to open, to become open",खुल्नु<br>khulnu
開ける<br>to open (v.t.),खोल्नु<br>kholnu
"上げる<br>to raise, to lift",उठाउनु<br>uthaunu
朝<br>morning,बिहान<br>bihana
朝御飯<br>breakfast,बिहानको खाना<br>bihanako khana
明後日<br>day after tomorrow,पर्सि<br>parsi
足; 脚<br>foot; leg,खुट्टा<br>khutta
明日<br>tomorrow,भोलि<br>bholi
"あそこ<br>there, over there, that place",त्यहाँ<br>tyahaan
遊ぶ<br>to play; to spend time pleasantly; to hang out,खेल्नु<br>khelnu
暖かい<br>warm,न्यानो<br>nyano
頭<br>head,टाउको<br>tauko
新しい<br>new,नयाँ<br>nayaan
あちら<br>this way (polite),त्यतातिर<br>tyatatira
"暑い<br>hot (in reference to weather), warm",गर्मी<br>garmi
熱い<br>hot (objects),तातो<br>tato
"厚い<br>kind, warm(hearted), thick, deep",बाक्लो; दयालु<br>baklo; dayalu
あっち<br>over there,त्यता<br>tyata
後<br>afterwards (later); in the future; the rest; since then,पछि<br>pachhi
あなた<br>you,तपाईं<br>tapaaeen
兄<br>(my) older brother (humble),दाजु<br>daaju
姉<br>(my) older sister (humble),दिदी<br>didi
アパート<br>apartment (abbr.),अपार्टमेन्ट<br>apartment
"あの<br>that over there; like that, that way; um...",त्यो<br>tyo
"浴びる<br>to bathe, to shower",नुहाउनु<br>nuhaunu
"危ない<br>dangerous, critical",खतरनाक<br>khatarnak
"甘い<br>generous, sweet",गुलियो<br>guliyo
余り<br>not very; surplus,धेरै होइन; बाँकी<br>dherai hoina; baanki
雨<br>rain,पानी; वर्षा<br>pani; barsha
飴<br>(hard) candy,मिठाई<br>mithai
洗う<br>to wash,धुनु<br>dhunu
"在る<br>to be, to have",हुनु<br>hunu
"有る<br>to be, to have",हुनु<br>hunu
歩く<br>to walk,हिँड्नु<br>hindnu
あれ<br>that one (over there),त्यो<br>tyo
いい; よい<br>good,राम्रो<br>ramro
"いいえ<br>no, not at all",होइन<br>hoina
言う<br>to say,भन्नु<br>bhannu
"家<br>house, home",घर<br>ghar
"いかが<br>how, in what way",कस्तो<br>kasto
行く<br>to go,जानु<br>jaanu
"いくつ<br>how many, how old",कति वटा; कति उमेर<br>kati wata; kati umer
"いくら<br>how much, how many",कति<br>kati
池<br>pond,पोखरी<br>pokhari
医者<br>doctor; physician,डाक्टर<br>doctor
椅子<br>chair,कुर्सी<br>kursi
"忙しい<br>busy (people, days)",व्यस्त<br>byasta
痛い<br>hurt; painful; sore,दुख्ने<br>dukhne
一<br>one,एक<br>ek
一日<br>one day (duration),एक दिन<br>ek din
"一番<br>best (most), first, number one",सबैभन्दा राम्रो; पहिलो<br>sabai bhanda ramro; pahilo
いつ<br>when,कहिले<br>kahile
五日<br>five days; fifth day of the month,पाँच दिन; पाँच गते<br>paanch din; paanch gate
一緒<br>together,सँगै<br>sangai
五つ<br>five things,पाँच वटा<br>paanch wata
"いつも<br>always, usually, every time, never (with neg. verb)",सधैं<br>sadhai
犬<br>dog,कुकुर<br>kukur
今<br>now,अहिले<br>ahile
"意味<br>meaning, significance",अर्थ<br>artha
妹<br>younger sister (humble),बहिनी<br>bahini
"嫌<br>disagreeable, detestable, unpleasant",नमन पर्ने; घृणित<br>naman parne; ghrinit
入口<br>entrance,प्रवेशद्वार<br>praveshdwar
"居る<br>(humble) to be (animate), to exist",हुनु; बस्नु<br>hunu; basnu
要る<br>to need,चाहिनु<br>chahinu
入れる<br>to put in,हाल्नु<br>halnu
色<br>color,रङ<br>rang
色々<br>various,विभिन्न<br>bibhinna
"上<br>above (up, top, etc.), over, on top of",माथि<br>mathi
"後ろ<br>back, behind, rear",पछाडि<br>pachhadi
"薄い<br>thin, weak",पातलो<br>patalo
歌<br>a song,गीत<br>geet
歌う<br>to sing,गाउनु<br>gaunu
うち<br>home; house; my place,घर<br>ghar
