expression,english meaning, nepali expression, pronunciation
ああ,"Ah!, Oh!",आह!,aah!
会う,"to meet, to see",भेट्नु,bhetnu
青,blue,नीलो,nilo
青い,blue,नीलो,nilo
赤,red,रातो,rato
赤い,red,रातो,rato
明るい,bright (in reference to personality or weather); cheerful,उज्यालो; हँसिलो,ujyalo; hansilo
秋,fall (season),शरद ऋतु,sharad ritu
開く,"to open, to become open",खुल्नु,khulnu
開ける,to open (v.t.),खोल्नु,kholnu
上げる,"to raise, to lift",उठाउनु,uthaunu
朝,morning,बिहान,bihana
朝御飯,breakfast,बिहानको खाना,bihanako khana
明後日,day after tomorrow,पर्सि,parsi
足; 脚,foot; leg,खुट्टा,khutta
明日,tomorrow,भोलि,bholi
あそこ,"there, over there, that place",त्यहाँ,tyahaan
遊ぶ,to play; to spend time pleasantly; to hang out,खेल्नु,khelnu
暖かい,warm,न्यानो,nyano
頭,head,टाउको,tauko
新しい,new,नयाँ,nayaan
あちら,this way (polite),त्यतातिर,tyatatira
暑い,"hot (in reference to weather), warm",गर्मी,garmi
熱い,hot (objects),तातो,tato
厚い,"kind, warm(hearted), thick, deep",बाक्लो; दयालु,baklo; dayalu
あっち,over there,त्यता,tyata
後,afterwards (later); in the future; the rest; since then,पछि,pachhi
あなた,you,तपाईं,tapaaeen
兄,(my) older brother (humble),दाजु,daaju
姉,(my) older sister (humble),दिदी,didi
アパート,apartment (abbr.),अपार्टमेन्ट,apartment
あの,"that over there; like that, that way; um...",त्यो,tyo
浴びる,"to bathe, to shower",नुहाउनु,nuhaunu
危ない,"dangerous, critical",खतरनाक,khatarnak
甘い,"generous, sweet",गुलियो,guliyo
余り,not very; surplus,धेरै होइन; बाँकी,dherai hoina; baanki
雨,rain,पानी; वर्षा,pani; barsha
飴,(hard) candy,मिठाई,mithai
洗う,to wash,धुनु,dhunu
在る,"to be, to have",हुनु,hunu
有る,"to be, to have",हुनु,hunu
歩く,to walk,हिँड्नु,hindnu
あれ,that one (over there),त्यो,tyo
いい; よい,good,राम्रो,ramro
いいえ,"no, not at all",होइन,hoina
言う,to say,भन्नु,bhannu
家,"house, home",घर,ghar
いかが,"how, in what way",कस्तो,kasto
行く,to go,जानु,jaanu
いくつ,"how many, how old",कति वटा; कति उमेर,kati wata; kati umer
いくら,"how much, how many",कति,kati
池,pond,पोखरी,pokhari
医者,doctor; physician,डाक्टर,doctor
椅子,chair,कुर्सी,kursi
忙しい,"busy (people, days)",व्यस्त,byasta
痛い,hurt; painful; sore,दुख्ने,dukhne
一,one,एक,ek
